DIAGNOSTIC_CODE,RATED_ISSUE_NAME,CC_ID,CC_NAME,AUTO_ELIGIBLE_DC,CC_VERSION
8616,Inflammation of the ulnar nerve,8929,Arm Condition - Neurological other System,FALSE,0.2
8716,Neuralgia of the ulnar nerve,8929,Arm Condition - Neurological other System,FALSE,0.2
8516,Paralysis of the ulnar nerve,8929,Arm Condition - Neurological other System,FALSE,0.2
5011,Caisson disease of the bones,8930,Caisson,FALSE,0.2
7712,Multiple myeloma,8939,Cancer - Hemic and Lymphatic,FALSE,0.2
7122,Residuals of cold injury,8943,Cold Injury Residuals,FALSE,0.2
7344,Benign growths of digestive system,8946,Cyst/Benign Growth - Digestive,FALSE,0.2
7529,Benign growths of genitourinary system,8950,Cyst/Benign Growth - Genitourinary,FALSE,0.2
7628,Benign growths of gynecological system or breast,8951,Cyst/Benign Growth - Gynecological,FALSE,0.2
6209,Benign growth of ear,8947,Cyst/Benign Growth - Ear Disease and Other Sense Organs,FALSE,0.2
7915,Benign growth of the endocrine system,8948,Cyst/Benign Growth - Endocrine,FALSE,0.2
6015,Benign growths of eye,8949,Cyst/Benign Growth - Eye (Vision),FALSE,0.2
5328,Benign muscle growth,8963,Cyst/Benign Growth - Musculoskeletal and Muscle Injuries,FALSE,0.2
8003,Benign Growth of the Brain,8964,Cyst/Benign Growth - Neurological other System,FALSE,0.2
8022,Benign growth of the spinal cord,8964,Cyst/Benign Growth - Neurological other System,FALSE,0.2
9901,Complete loss of lower jaw,8967,Dental and Oral,FALSE,0.2
9900,Inflammation of the jawbone,8967,Dental and Oral,FALSE,0.2
7201,Lip injury,8967,Dental and Oral,FALSE,0.2
9906,Loss (full or partial) of upper jaw,8967,Dental and Oral,FALSE,0.2
9908,Loss of condyloid process of jaw,8967,Dental and Oral,FALSE,0.2
9909,Loss of coronoid process of jaw,8967,Dental and Oral,FALSE,0.2
9912,Loss of hard palate (less than half),8967,Dental and Oral,FALSE,0.2
9911,Loss of hard palate (more than half),8967,Dental and Oral,FALSE,0.2
9913,Loss of teeth,8967,Dental and Oral,FALSE,0.2
7202,Loss of tongue,8967,Dental and Oral,FALSE,0.2
9904,Malunion of lower jaw,8967,Dental and Oral,FALSE,0.2
9915,"Maxilla, loss of half or less",8967,Dental and Oral,FALSE,0.2
9914,"Maxilla, loss of more than half",8967,Dental and Oral,FALSE,0.2
9916,"Maxilla, malunion or nonunion of {4.150}",8967,Dental and Oral,FALSE,0.2
7200,Mouth injury,8967,Dental and Oral,FALSE,0.2
9917,"Neoplasm, hard and soft tissue, benign",8967,Dental and Oral,FALSE,0.2
9903,Nonunion of lower jaw,8967,Dental and Oral,FALSE,0.2
9902,Partial loss of lower jaw,8967,Dental and Oral,FALSE,0.2
9907,Partial loss of upper jaw,8967,Dental and Oral,FALSE,0.2
9905,Limited motion of the jaw,249481,Dental and Oral - Musculoskeletal,FALSE,0.2
7301,Adhesions of the peritoneum,8968,Digestive,FALSE,0.2
7321,Amebiasis,8968,Digestive,FALSE,0.2
7337,Ani pruritis,8968,Digestive,FALSE,0.2
7335,"Ano, fistula",8968,Digestive,FALSE,0.2
7314,Cholecystitis (inflammation of the gall bladder),8968,Digestive,FALSE,0.2
7315,Cholelithiasis (gall stones),8968,Digestive,FALSE,0.2
7316,Chronic cholangitis,8968,Digestive,FALSE,0.2
7326,Chronic entercolitis,8968,Digestive,FALSE,0.2
