Diagnostic Code,Rated Issue Name,Contention Classification Code,Contention classification Name,Automation Eligible?,Contention Classifier version
DC_CODE,RATED_ISSUE_NAME,CC_CODE,CC_NAME,AUTO_ELIGIBLE_DC,CC Version
5011,Caisson disease of the bones,[8930],['Caisson'],FALSE,0.1
9905,Limited motion of the jaw,[249481],['Dental and Oral - Musculoskeletal'],FALSE,0.1
9901,Complete loss of lower jaw,[8967],['Dental and Oral'],FALSE,0.1
9900,Inflammation of the jawbone,[8967],['Dental and Oral'],FALSE,0.1
7201,Lip injury,[8967],['Dental and Oral'],FALSE,0.1
9906,Loss (full or partial) of upper jaw,[8967],['Dental and Oral'],FALSE,0.1
9908,Loss of condyloid process of jaw,[8967],['Dental and Oral'],FALSE,0.1
9909,Loss of coronoid process of jaw,[8967],['Dental and Oral'],FALSE,0.1
9912,Loss of hard palate (less than half),[8967],['Dental and Oral'],FALSE,0.1
9911,Loss of hard palate (more than half),[8967],['Dental and Oral'],FALSE,0.1
9913,Loss of teeth,[8967],['Dental and Oral'],FALSE,0.1
7202,Loss of tongue,[8967],['Dental and Oral'],FALSE,0.1
9904,Malunion of lower jaw,[8967],['Dental and Oral'],FALSE,0.1
9915,"Maxilla, loss of half or less",[8967],['Dental and Oral'],FALSE,0.1
9914,"Maxilla, loss of more than half",[8967],['Dental and Oral'],FALSE,0.1
9916,"Maxilla, malunion or nonunion of {4.150}",[8967],['Dental and Oral'],FALSE,0.1
7200,Mouth injury,[8967],['Dental and Oral'],FALSE,0.1
9917,None,[8967],['Dental and Oral'],FALSE,0.1
9903,Nonunion of lower jaw,[8967],['Dental and Oral'],FALSE,0.1
9902,Partial loss of lower jaw,[8967],['Dental and Oral'],FALSE,0.1
9907,Partial loss of upper jaw,[8967],['Dental and Oral'],FALSE,0.1
7301,Adhesions of the peritoneum,[8968],['Digestive'],FALSE,0.1
7321,Amebiasis,[8968],['Digestive'],FALSE,0.1
7337,Ani pruritis,[8968],['Digestive'],FALSE,0.1
7335,"Ano, fistula",[8968],['Digestive'],FALSE,0.1
7314,Cholecystitis (inflammation of the gall bladder),[8968],['Digestive'],FALSE,0.1
7315,Cholelithiasis (gall stones),[8968],['Digestive'],FALSE,0.1
7316,Chronic cholangitis,[8968],['Digestive'],FALSE,0.1
7326,Chronic entercolitis,[8968],['Digestive'],FALSE,0.1
7325,Chronic enteritis,[8968],['Digestive'],FALSE,0.1
7312,Cirrhosis of the liver,[8968],['Digestive'],FALSE,0.1
7324,Distomiasis,[8968],['Digestive'],FALSE,0.1
7327,Diverticulitis,[8968],['Digestive'],FALSE,0.1
7205,Diverticulum of the esophagus,[8968],['Digestive'],FALSE,0.1
7305,Duodenal ulcer,[8968],['Digestive'],FALSE,0.1
7322,Dysentery,[8968],['Digestive'],FALSE,0.1
7204,Esophagus spasm,[8968],['Digestive'],FALSE,0.1
7340,Femoral hernia,[8968],['Digestive'],FALSE,0.1
7330,Fistula of the intestine,[8968],['Digestive'],FALSE,0.1
7304,Gastric ulcer,[8968],['Digestive'],FALSE,0.1
7306,Gastrojejunal ulcer,[8968],['Digestive'],FALSE,0.1
7336,Hemorrhoids,[8968],['Digestive'],FALSE,0.1
7354,Hepatitis C,[8968],['Digestive'],FALSE,0.1
7346,Hiatal hernia,[8968],['Digestive'],FALSE,0.1
7307,Hypertrophic gastritis,[8968],['Digestive'],FALSE,0.1
7332,Impairment of sphincter control,[8968],['Digestive'],FALSE,0.1
7345,Infectious hepatitis,[8968],['Digestive'],FALSE,0.1
7338,Inguinal hernia,[8968],['Digestive'],FALSE,0.1
7317,Injury of the gall bladder,[8968],['Digestive'],FALSE,0.1
7319,Irritable bowel syndrome,[8968],['Digestive'],FALSE,0.1
7311,Liver injury,[8968],['Digestive'],FALSE,0.1
7351,Liver Transplant,[8968],['Digestive'],FALSE,0.1
7347,Pancreatitis,[8968],['Digestive'],FALSE,0.1
7308,Postgastrectomy syndromes,[8968],['Digestive'],FALSE,0.1
7334,Prolapse of rectum,[8968],['Digestive'],FALSE,0.1
7318,Removal of the gall bladder,[8968],['Digestive'],FALSE,0.1
7329,Resection of the large intestine,[8968],['Digestive'],FALSE,0.1
7328,Resection of the small intestine,[8968],['Digestive'],FALSE,0.1
7309,Stenosis of the stomach,[8968],['Digestive'],FALSE,0.1
7310,Stomach injury,[8968],['Digestive'],FALSE,0.1
7203,Stricture of esophagus,[8968],['Digestive'],FALSE,0.1
7333,Stricture of rectum/anus,[8968],['Digestive'],FALSE,0.1
7323,Ulcerative colitis,[8968],['Digestive'],FALSE,0.1
7348,Vagotomy,[8968],['Digestive'],FALSE,0.1
7339,Ventral hernia,[8968],['Digestive'],FALSE,0.1
7342,Visceroptosis,[8968],['Digestive'],FALSE,0.1
6275,Complete loss of sense of smell,[8969],['Ear Disease and Other Sense Organs'],FALSE,0.1
6276,Complete loss of sense of taste,[8969],['Ear Disease and Other Sense Organs'],FALSE,0.1
6210,Disease of the auditory canal,[8969],['Ear Disease and Other Sense Organs'],FALSE,0.1
6204,Labyrinthitis,[8969],['Ear Disease and Other Sense Organs'],FALSE,0.1
6207,Loss or partial loss of ear,[8969],['Ear Disease and Other Sense Organs'],FALSE,0.1
6206,Mastoiditis,[8969],['Ear Disease and Other Sense Organs'],FALSE,0.1
