Diagnostic Code,Rated Issue Name,Max Rating(%),Body System, Category, Subcategory, CFR_Ref
5000,"Osteomyelitis, acute, subacute, or chronic.",100,Musculoskeletal,"Acute, Subacute, or Chronic Diseases",,38 CFR 4.71a
5001,"Bones and joints, tuberculosis of, active or inactive.",100,Musculoskeletal,"Acute, Subacute, or Chronic Diseases",,38 CFR 4.71a
5002,"Multi-joint arthritis (except post-traumatic and gout), 2 or more joints, as an active process.",100,Musculoskeletal,"Acute, Subacute, or Chronic Diseases",,38 CFR 4.71a
5003,"Degenerative arthritis, other than post-traumatic.",20,Musculoskeletal,"Acute, Subacute, or Chronic Diseases",,38 CFR 4.71a
5004,"Arthritis, gonorrheal.",100,Musculoskeletal,"Acute, Subacute, or Chronic Diseases",,38 CFR 4.71a
5005,"Arthritis, pneumococcic.",100,Musculoskeletal,"Acute, Subacute, or Chronic Diseases",,38 CFR 4.71a
5006,"Arthritis, typhoid.",100,Musculoskeletal,"Acute, Subacute, or Chronic Diseases",,38 CFR 4.71a
5007,"Arthritis, syphilitic.",100,Musculoskeletal,"Acute, Subacute, or Chronic Diseases",,38 CFR 4.71a
5008,"Arthritis, streptococcic.",100,Musculoskeletal,"Acute, Subacute, or Chronic Diseases",,38 CFR 4.71a
5009,Other specified forms of arthropathy (excluding gout).,100,Musculoskeletal,"Acute, Subacute, or Chronic Diseases",,38 CFR 4.71a
5010,Post-traumatic arthritis.,100,Musculoskeletal,"Acute, Subacute, or Chronic Diseases",,38 CFR 4.71a
5011,Decompression illness.,100,Musculoskeletal,"Acute, Subacute, or Chronic Diseases",,38 CFR 4.71a
5012,"Bones, neoplasm, malignant, primary or secondary.",100,Musculoskeletal,"Acute, Subacute, or Chronic Diseases",,38 CFR 4.71a
5013,"Osteoporosis, residuals of.",100,Musculoskeletal,"Acute, Subacute, or Chronic Diseases",,38 CFR 4.71a
5014,"Osteomalacia, residuals of.",100,Musculoskeletal,"Acute, Subacute, or Chronic Diseases",,38 CFR 4.71a
5015,"Bones, neoplasm, benign.",100,Musculoskeletal,"Acute, Subacute, or Chronic Diseases",,38 CFR 4.71a
5016,Osteitis deformans.,100,Musculoskeletal,"Acute, Subacute, or Chronic Diseases",,38 CFR 4.71a
5017,Gout.,100,Musculoskeletal,"Acute, Subacute, or Chronic Diseases",,38 CFR 4.71a
5018,[Removed],100,Musculoskeletal,"Acute, Subacute, or Chronic Diseases",,38 CFR 4.71a
5019,Bursitis.,100,Musculoskeletal,"Acute, Subacute, or Chronic Diseases",,38 CFR 4.71a
5020,[Removed],100,Musculoskeletal,"Acute, Subacute, or Chronic Diseases",,38 CFR 4.71a
5021,Myositis.,100,Musculoskeletal,"Acute, Subacute, or Chronic Diseases",,38 CFR 4.71a
5022,[Removed],100,Musculoskeletal,"Acute, Subacute, or Chronic Diseases",,38 CFR 4.71a
5023,Heterotopic ossification.,100,Musculoskeletal,"Acute, Subacute, or Chronic Diseases",,38 CFR 4.71a
5024,"Tenosynovitis, tendinitis, tendinosis or tendinopathy.",100,Musculoskeletal,"Acute, Subacute, or Chronic Diseases",,38 CFR 4.71a
5025,"Fibromyalgia (fibrositis, primary fibromyalgia syndrome).",40,Musculoskeletal,"Acute, Subacute, or Chronic Diseases",,38 CFR 4.71a
5051,Shoulder replacement (prosthesis),100,Musculoskeletal,Prosthetic Implants and Resurfacing,,38 CFR 4.71a
5052,Elbow replacement (prosthesis).,100,Musculoskeletal,Prosthetic Implants and Resurfacing,,38 CFR 4.71a
5053,Wrist replacement (prosthesis).,100,Musculoskeletal,Prosthetic Implants and Resurfacing,,38 CFR 4.71a
5054,"Hip, resurfacing or replacement (prosthesis).",100,Musculoskeletal,Prosthetic Implants and Resurfacing,,38 CFR 4.71a
5055,"Knee, resurfacing or replacement (prosthesis).",100,Musculoskeletal,Prosthetic Implants and Resurfacing,,38 CFR 4.71a
5056,Ankle replacement (prosthesis).,100,Musculoskeletal,Prosthetic Implants and Resurfacing,,38 CFR 4.71a
5104,Anatomical loss of one hand and loss of use of one foot,100,Musculoskeletal,Prosthetic Implants and Resurfacing,,38 CFR 4.71a
5105,Anatomical loss of one foot and loss of use of one hand,100,Musculoskeletal,Prosthetic Implants and Resurfacing,,38 CFR 4.71a
5106,Anatomical loss of both hands,100,Musculoskeletal,Prosthetic Implants and Resurfacing,,38 CFR 4.71a
